"Date of Download: 2023-12-19_01:44:56"
"Search Parameters: Data Level:all  Trait List:  Trial List:11551  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","branching level counting|CO_334:0000079","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","marketable root number counting|CO_334:0000169","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root evaluation scaled 1-5|CO_334:0000228","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","storage root shape visual rating 1-6|CO_334:0000020","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377569","AGH22-0057","","plot","6692158","202307DMF1C_tani_rep1_AGH22-0057_237","1","1","237","14","10","test","","1","0","1","265","10.9375","3.5","1","14","4","1","265","3","3","0","0.75","22.45608084","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6377574","AGH22-0062","","plot","6691826","202307DMF1C_tani_rep1_AGH22-0062_67","1","1","67","17","3","test","","1","1","1","225","30.3125","9.7","3","32","4","1","225","4","4","0","1","24","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","2732020","CR24-16","","plot","6691806","202307DMF1C_tani_rep1_CR24-16_236","1","1","236","15","10","check","","1","1","1","260","35.3125","11.3","3","44","4","1","310","3","2","1","1","21","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","723","IITA-TMS-IBA980581","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","plot","6692012","202307DMF1C_tani_rep1_IBA980581_46","1","1","46","5","2","check","","1","0","1","200","33.5625","10.74","2","39","4","1","200","4","2","0","1","17","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","3661328","KM505","","plot","6691813","202307DMF1C_tani_rep1_KM505_158","1","1","158","8","7","check","","1","0","1","225","33.28125","10.65","3","36","4","1","225","4","1","0","1","20.81648363","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","2451401","KU50","","plot","6692035","202307DMF1C_tani_rep1_KU50_121","1","1","121","21","5","check","","4","0","1","265","25.921875","8.295","2","26","4","1","265","4","3","2","1","21","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","39671","TMEB419","GBAZEKOUTE,OBAMA,TME 419","plot","6691889","202307DMF1C_tani_rep1_TMEB419_89","1","1","89","12","4","check","","1","0","1","225","49.9375","15.98","3","34","4","1","225","4","2","1","1","25.5","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691314","VF22-0003","","plot","6691822","202307DMF1C_tani_rep1_VF22-0003_45","1","1","45","6","2","test","","1","0","1","180","30.75","9.84","3","54","4","3","180","4","1","0","1","25.3","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691315","VF22-0005","","plot","6691929","202307DMF1C_tani_rep1_VF22-0005_99","1","1","99","2","4","test","","1","0","1","180","38.125","12.2","2","32","4","1","180","4","2","0","1","23","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691316","VF22-0007","","plot","6691769","202307DMF1C_tani_rep1_VF22-0007_37","1","1","37","14","2","test","","1","0","1","200","19.9375","6.38","3","38","4","1","200","4","3","1","1","21.3","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691317","VF22-0012","","plot","6692101","202307DMF1C_tani_rep1_VF22-0012_120","1","1","120","20","5","test","","1","0","1","180","14.46875","4.63","3","35","4","1","180","4","1","0","1","14","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691318","VF22-0013","","plot","6691892","202307DMF1C_tani_rep1_VF22-0013_207","1","1","207","7","9","test","","1","0","1","200","30.71875","9.83","3","50","4","1","200","4","1","0","1","22.40823721","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691319","VF22-0015","","plot","6691965","202307DMF1C_tani_rep1_VF22-0015_300","1","1","300","1","12","test","","1","0","1","180","17.1875","5.5","2","36","4","1","180","4","1","1","1","16.26338655","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691320","VF22-0018","","plot","6691834","202307DMF1C_tani_rep1_VF22-0018_242","1","1","242","9","10","test","","1","0","1","135","19.0625","6.1","2","44","4","1","135","4","4","0","1","18.89991736","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691321","VF22-0019","","plot","6692087","202307DMF1C_tani_rep1_VF22-0019_253","1","1","253","3","11","test","","1","1","1","110","11.234375","3.595","2","24","4","2","175","4","5","3","1","25.25573304","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691322","VF22-0020","","plot","6691773","202307DMF1C_tani_rep1_VF22-0020_49","1","1","49","2","2","test","","","","","","0","","","","4","","","","","","0","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691323","VF22-0023","","plot","6691638","202307DMF1C_tani_rep1_VF22-0023_119","1","1","119","19","5","test","","1","0","1","120","10.234375","3.275","1","18","4","1","120","2","1","0","0.75","21.95111332","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691324","VF22-0024","","plot","6691857","202307DMF1C_tani_rep1_VF22-0024_219","1","1","219","19","9","test","","1","0","1","200","45.234375","14.475","3","59","4","1","200","4","2","0","1","22.55453202","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691325","VF22-0025","","plot","6691751","202307DMF1C_tani_rep1_VF22-0025_228","1","1","228","23","10","test","","","","1","","0","","1","","4","","","","","","0.5","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691326","VF22-0027","","plot","6692017","202307DMF1C_tani_rep1_VF22-0027_297","1","1","297","4","12","test","","1","0","1","125","1.5625","0.5","3","5","4","1","125","4","5","3","1","25.31526316","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691327","VF22-0028","","plot","6691637","202307DMF1C_tani_rep1_VF22-0028_188","1","1","188","13","8","test","","1","0","1","245","43.109375","13.795","2","36","4","1","245","4","1","0","1","24","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691328","VF22-0030","","plot","6692068","202307DMF1C_tani_rep1_VF22-0030_14","1","1","14","14","1","test","","1","0","1","315","20.5","6.56","3","15","4","1","315","4","4","2","1","16.36932468","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691329","VF22-0031","","plot","6691701","202307DMF1C_tani_rep1_VF22-0031_204","1","1","204","4","9","test","","1","0","1","300","44.03125","14.09","3","41","4","1","300","4","2","2","1","23.5","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691330","VF22-0036","","plot","6692146","202307DMF1C_tani_rep1_VF22-0036_82","1","1","82","19","4","test","","1","0","1","275","40","12.8","3","33","4","1","275","4","1","0","1","26.3","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691331","VF22-0041","","plot","6691931","202307DMF1C_tani_rep1_VF22-0041_81","1","1","81","20","4","test","","1","2","1","125","34.09375","10.91","3","56","4","2","180","4","4","0","1","21.78853601","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691332","VF22-0049","","plot","6691978","202307DMF1C_tani_rep1_VF22-0049_208","1","1","208","8","9","test","","1","2","1","100","15.015625","4.805","2","31","4","1","125","3","3","0","1","23.99176387","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691333","VF22-0052","","plot","6692073","202307DMF1C_tani_rep1_VF22-0052_148","1","1","148","3","6","test","","1","0","1","120","3.03125","0.97","1","10","4","1","120","2","","0","1","15.83228571",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691334","VF22-0053","","plot","6691692","202307DMF1C_tani_rep1_VF22-0053_173","1","1","173","23","7","test","","","","","","0","","","","4","","","","","","0","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691335","VF22-0054","","plot","6691887","202307DMF1C_tani_rep1_VF22-0054_97","1","1","97","4","4","test","","1","1","1","105","24.515625","7.845","2","37","4","1","130","4","4","0","1","21.2893722","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691336","VF22-0060","","plot","6691682","202307DMF1C_tani_rep1_VF22-0060_224","1","1","224","24","9","test","","1","1","1","135","8.28125","2.65","1","16","4","1","150","1","1","0","0.5","23.82380711","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691337","VF22-0062","","plot","6691671","202307DMF1C_tani_rep1_VF22-0062_10","1","1","10","10","1","test","","1","","1","","10.4375","3.34","3","20","4","","","4","4","2","1","12.51350562","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691338","VF22-0064","","plot","6691772","202307DMF1C_tani_rep1_VF22-0064_205","1","1","205","5","9","test","","1","0","1","175","15.21875","4.87","2","20","4","1","175","4","2","0","1","21.29056701","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691339","VF22-0066","","plot","6691815","202307DMF1C_tani_rep1_VF22-0066_2","1","1","2","2","1","test","","1","1","1","230","69.53125","22.25","3","54","4","2","300","4","1","0","1","16.34091286","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691340","VF22-0071","","plot","6692121","202307DMF1C_tani_rep1_VF22-0071_85","1","1","85","16","4","test","","1","0","1","230","35.15625","11.25","3","30","4","1","230","4","3","0","1","23.2","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691341","VF22-0073","","plot","6691677","202307DMF1C_tani_rep1_VF22-0073_151","1","1","151","1","7","test","","","","1","","0","","1","","4","","","","","0","0.75","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691342","VF22-0075","","plot","6692107","202307DMF1C_tani_rep1_VF22-0075_221","1","1","221","21","9","test","","1","0","1","220","11.65625","3.73","2","19","4","1","220","2","4","2","0.75","26.3980597","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691343","VF22-0081","","plot","6691905","202307DMF1C_tani_rep1_VF22-0081_134","1","1","134","17","6","test","","1","0","1","175","18.65625","5.97","3","43","4","1","175","4","3","2","1","14.41058091","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691344","VF22-0083","","plot","6691864","202307DMF1C_tani_rep1_VF22-0083_296","1","1","296","5","12","test","","1","0","1","140","5.9375","1.9","2","26","4","1","140","4","1","2","1","17.2692278","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691345","VF22-0086","","plot","6691872","202307DMF1C_tani_rep1_VF22-0086_299","1","1","299","2","12","test","","1","0","1","115","2.5","0.8","3","9","4","1","115","4","5","4","1","18.47272727","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691346","VF22-0089","","plot","6692005","202307DMF1C_tani_rep1_VF22-0089_194","1","1","194","7","8","test","","1","0","1","250","19.640625","6.285","2","37","4","1","250","3","4","0","0.75","26.42057239","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691347","VF22-0090","","plot","6691641","202307DMF1C_tani_rep1_VF22-0090_130","1","1","130","21","6","test","","1","3","1","175","21.46875","6.87","2","36","4","2","300","4","4","0","1","15.5","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691348","VF22-0091","","plot","6691705","202307DMF1C_tani_rep1_VF22-0091_103","1","1","103","3","5","test","","1","0","1","215","24.671875","7.895","2","25","4","1","215","3","5","0","1","22.5","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691349","VF22-0092","","plot","6692036","202307DMF1C_tani_rep1_VF22-0092_88","1","1","88","13","4","test","","1","0","1","220","32.96875","10.55","3","47","4","1","220","4","4","0","0.75","22.5","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691350","VF22-0094","","plot","6692155","202307DMF1C_tani_rep1_VF22-0094_246","1","1","246","5","10","test","","1","0","1","130","20","6.4","3","36","4","1","130","4","2","2","1","18.5","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691351","VF22-0095","","plot","6691767","202307DMF1C_tani_rep1_VF22-0095_22","1","1","22","22","1","test","","1","0","1","225","11.125","3.56","3","21","4","1","225","4","1","0","1","20.38292683","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691352","VF22-0097","","plot","6691778","202307DMF1C_tani_rep1_VF22-0097_203","1","1","203","3","9","test","","1","0","1","290","48.296875","15.455","3","37","4","1","290","4","2","1","1","22.26209607","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691353","VF22-0098","","plot","6691903","202307DMF1C_tani_rep1_VF22-0098_157","1","1","157","7","7","test","","1","0","1","300","51.984375","16.635","3","55","4","1","300","4","5","0","1","23","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691354","VF22-0099","","plot","6691926","202307DMF1C_tani_rep1_VF22-0099_48","1","1","48","3","2","test","","1","0","1","275","28.78125","9.21","2","42","4","1","275","4","5","0","1","18.5","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691355","VF22-0101","","plot","6691610","202307DMF1C_tani_rep1_VF22-0101_241","1","1","241","10","10","test","","1","0","1","225","25.9375","8.3","3","40","4","1","225","4","3","1","1","24.5","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691356","VF22-0103","","plot","6692110","202307DMF1C_tani_rep1_VF22-0103_147","1","1","147","4","6","test","","1","0","1","250","34.765625","11.125","3","47","4","1","250","4","1","1","1","19","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11551","202307DMF1C_tani","202307DMF1C_tani","Augmented","1","3.2","","no","no","2023-April-04","","467","Tay Ninh","6691357","VF22-0105","","plot","6691608","202307DMF1C_tani_rep1_VF22-0105_34","1","1","34","17","2","test","","1","3","1","185","38.75","12.4","2","50","4","3","310","4","3","0","1","23.5","5"," (Operator: lizbethpino, Time: )"
